service_id,date,exception_type
IDFM:12439,20240611,1
IDFM:12439,20240610,1
IDFM:12440,20240608,1
IDFM:12440,20240615,1
IDFM:12440,20240613,2
IDFM:12440,20240612,2
IDFM:12440,20240611,2
IDFM:12440,20240610,2
IDFM:12440,20240621,1
IDFM:12440,20240628,1
IDFM:12449,20240608,1
IDFM:12449,20240607,1
IDFM:12449,20240606,1
IDFM:12449,20240605,1
IDFM:12449,20240615,1
IDFM:12449,20240614,1
IDFM:12449,20240613,1
IDFM:12449,20240612,1
IDFM:12449,20240611,1
IDFM:12449,20240610,1
IDFM:12453,20240608,1
IDFM:12453,20240615,1
IDFM:12467,20240622,1
IDFM:12467,20240629,1
IDFM:12468,20240608,1
IDFM:12468,20240615,1
IDFM:12470,20240622,1
IDFM:12470,20240629,1
IDFM:12473,20240611,1
IDFM:12473,20240610,1
IDFM:12474,20240607,1
IDFM:12474,20240606,1
IDFM:12474,20240605,1
IDFM:12474,20240614,1
IDFM:12474,20240613,1
IDFM:12474,20240612,1
IDFM:12474,20240611,1
IDFM:12474,20240610,1
IDFM:12479,20240622,1
IDFM:12479,20240629,1
IDFM:12496,20240622,1
IDFM:12496,20240629,1
IDFM:12521,20240613,2
IDFM:12521,20240612,2
IDFM:12521,20240611,2
IDFM:12521,20240610,2
IDFM:12521,20240621,1
IDFM:12521,20240628,1
IDFM:12525,20240607,1
IDFM:12525,20240606,1
IDFM:12525,20240605,1
IDFM:12525,20240614,1
IDFM:12525,20240613,1
IDFM:12525,20240612,1
IDFM:12525,20240611,1
IDFM:12525,20240610,1
IDFM:12525,20240622,1
IDFM:12525,20240629,1
IDFM:12617,20240613,2
IDFM:12617,20240612,2
IDFM:12617,20240611,2
IDFM:12617,20240610,2
IDFM:12617,20240621,1
IDFM:12617,20240628,1
IDFM:12653,20240608,1
IDFM:12653,20240615,1
IDFM:12675,20240608,1
IDFM:12675,20240615,1
IDFM:12675,20240613,2
IDFM:12675,20240612,2
IDFM:12675,20240611,2
IDFM:12675,20240610,2
IDFM:12675,20240621,1
IDFM:12675,20240628,1
IDFM:12729,20240609,1
IDFM:12729,20240616,1
IDFM:12729,20240622,1
IDFM:12729,20240629,1
IDFM:12831,20240611,1
IDFM:12831,20240610,1
IDFM:13058,20240623,1
IDFM:13058,20240630,1
IDFM:13134,20240613,2
IDFM:13134,20240612,2
IDFM:13134,20240611,2
IDFM:13134,20240610,2
IDFM:13134,20240622,1
IDFM:13134,20240621,1
IDFM:13134,20240629,1
IDFM:13134,20240628,1
IDFM:13338,20240608,1
IDFM:13338,20240615,1
IDFM:13338,20240613,2
IDFM:13338,20240612,2
IDFM:13338,20240611,2
IDFM:13338,20240610,2
IDFM:70833,20240611,1
IDFM:70833,20240610,1
IDFM:71231,20240607,1
IDFM:71231,20240611,1
IDFM:71231,20240610,1
IDFM:71318,20240608,1
IDFM:71318,20240607,1
IDFM:71318,20240611,1
IDFM:71318,20240610,1
IDFM:89055,20240628,1
IDFM:107298,20240607,1
IDFM:107298,20240611,1
IDFM:107298,20240610,1
IDFM:119385,20240621,2
IDFM:119412,20240621,2
IDFM:119696,20240621,1
IDFM:124701,20240704,1
IDFM:124701,20240703,1
IDFM:124701,20240702,1
IDFM:124701,20240701,1
IDFM:141972,20240704,1
IDFM:141972,20240703,1
IDFM:141972,20240702,1
IDFM:141972,20240701,1
IDFM:141973,20240704,1
IDFM:141973,20240703,1
IDFM:141973,20240702,1
IDFM:141973,20240701,1
IDFM:151191,20240621,2
IDFM:151192,20240621,2
IDFM:151193,20240621,2
IDFM:151219,20240621,2
IDFM:151282,20240621,1
IDFM:151286,20240621,2
IDFM:151287,20240621,2
IDFM:151297,20240621,2
IDFM:151297,20240704,1
IDFM:151297,20240703,1
IDFM:151297,20240702,1
IDFM:151297,20240701,1
IDFM:151307,20240621,2
IDFM:151355,20240704,1
IDFM:151355,20240703,1
IDFM:151355,20240702,1
IDFM:151355,20240701,1
IDFM:151383,20240621,1
IDFM:151383,20240704,1
IDFM:151383,20240703,1
IDFM:151383,20240702,1
IDFM:151383,20240701,1
IDFM:151670,20240621,1
IDFM:151670,20240704,1
IDFM:151670,20240703,1
IDFM:151670,20240702,1
IDFM:151670,20240701,1
IDFM:152499,20240621,2
IDFM:152670,20240621,1
IDFM:152744,20240621,1
IDFM:152841,20240621,2
IDFM:163821,20240621,1
IDFM:169930,20240704,1
IDFM:169930,20240703,1
IDFM:169930,20240702,1
IDFM:169930,20240701,1
IDFM:173080,20240609,1
IDFM:173080,20240606,1
IDFM:173080,20240611,1
IDFM:173080,20240610,1
IDFM:173085,20240607,1
IDFM:173085,20240606,1
